StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SI1,SI1_23_TEXT,SI2,SI3,SI3_8_TEXT,SI4,SI4_10_TEXT,SI5_1,SI5_11,SI5_2,SI5_3,SI5_4,SI5_5,SI5_6,SI5_7,SI5_8,SI5_9,SI5_10,SI5_10_TEXT,SI6,SI7,SI7_5_TEXT,SI8,SI8_4_TEXT,SI9,SI9_5_TEXT,SI10,SI10_5_TEXT,SI11,SI12
2026-02-06 07:25:30,2026-02-06 07:30:16,IP Address,*******,100,286,True,2026-02-06 07:30:16,R_1pJNivU1HFZB3Xl,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,3,,1,7,,5,6,4,2,,,,"They need more protein
Plant forward eating is more expensive","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,One-Pager/Brief,,Printed Handouts,,"Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"Nutrition Care Manual, company provided materials, national organizations like the American Heart Association, American Cancer Society, Cancer.gov","Printed materials with bright, vibrant images are always attractive for patients"
2026-02-06 07:28:58,2026-02-06 07:37:42,IP Address,*******,100,523,True,2026-02-06 07:37:42,R_5Yfh7zpbOZsyF04,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Digestive Health",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences",,3,,4,2,1,,,,,,,,"The fear of soy based products. The need for a lot more protein then needed ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Interactive Webpage",,Printed Handouts,,"Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"Heart association, academy",No
2026-02-06 08:01:19,2026-02-06 08:04:01,IP Address,*******,100,161,True,2026-02-06 08:04:01,R_5ZWYUrf00Su6tb4,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health,General Wellness/Prevention",,"Personal taste preferences,Familial and/or household pushback",,,,,,2,1,,,,,,,"I have been eating ""meat and potatoes"" my entire life, I don't like beans and lentils","Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"One-Pager/Brief,Interactive Webpage",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,Academy of Nutrition and Dietetics,Handouts do get lost in the discharge folder or often not looked at. Just overwhelming. If there is a way to reach the patient post discharge that is ideal but with time constraints often doesnt happen
2026-02-06 08:00:52,2026-02-06 08:10:26,IP Address,*******,100,573,True,2026-02-06 08:10:26,R_3EWodkjhoZWbluN,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Weight Management,Digestive Health,General Wellness/Prevention",,"Concerns about protein adequacy,Personal taste preferences,Other (Please Specify)","There is no need or necessity to promote having our patients move to plant based protein - Removing animal protein is a detriment to our health. ",,,,,,,,,,,,,They won't get enough protein,Other (Please Specify),"None - we should be promoting a well-balanced diet that includes all protein foods - I would  never just promote plant-based proteins, the quality is not the same to animal and organ meats.",One-Pager/Brief,,Other (Please Specify),NONE - unless handouts include all forms of protein sources,Other (Please Specify),NONE,,NONE
2026-02-06 08:19:02,2026-02-06 08:21:42,IP Address,*******,100,160,True,2026-02-06 08:21:43,R_7QFDitkPgwOQ6EW,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,Type 2 Diabetes/Prediabetes,,Lack of cooking skills and/or knowledge,,,,,,,,,,,,,,at times taste preference,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.)",,Interactive Webpage,,Printed Handouts,,Nutritional Efficacy for Specific Medical Conditions,,NCM,"none at the moment "
2026-02-06 08:24:30,2026-02-06 08:29:35,IP Address,*******,100,305,True,2026-02-06 08:29:35,R_31uVRxNyVXXHRpG,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Digestive Health,Respiratory Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,5,4,1,,,,,3,2,,,,"Lack of protein, causes anemia","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,Interactive Webpage,,QR Code,,"Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,Mostly from AHA and ADA,Praising plant-forward menu and meals during their hospital stay
2026-02-06 08:34:35,2026-02-06 08:52:06,IP Address,*******,100,1050,True,2026-02-06 08:52:07,R_7rxxfR6cycotESp,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health,General Wellness/Prevention,Other (Please Specify)",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Concerns about protein adequacy,Personal taste preferences,Other (Please Specify)","animal sourced protein are quite superior to plant-based protein in terms of protein digestibility and micronutrient utilization. ",4,5,,2,3,,,,,,1,"animal sourced protein are very superior nutrition to plant-based protein in terms of protein and micronutrient utilization. ","Eating more Plant-forward is not going to improve the environment as cattle in the United States only emits 1.9% of greenhouse gas, while dairy cattle also emit 1.9% of GHG. In one study from 2017 or so, studied GHG impact on USA if all Americans go vegan. The findings of that study were around a 2-3% reduction. Again, animal-sourced protein are far superior to protein and micronutrient absorption and utilization. ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.)",,"Video,One-Pager/Brief,Interactive Webpage",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating,Other (Please Specify)","Eating beef or other proteins are far more environmentally sustainable than Sodexo is claiming. American College of Lifestyle Nutrition is an organization that promotes vegan ideology. I firmly believe it is disingenuous of Sodexo to villainize animal-sourced foods so readily. ",NCP,no
2026-02-06 08:59:31,2026-02-06 09:03:07,IP Address,*******,100,216,True,2026-02-06 09:03:08,R_6HtvpsioSaeVtaJ,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,Other (Please Specify),"Stroke, dementia","Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation",,5,6,4,7,1,2,,3,,,,,nutritional inadequacy,"Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies",,American Heart Association,the whole household has to be on board
2026-02-06 09:40:01,2026-02-06 09:45:14,IP Address,*******,100,313,True,2026-02-06 09:45:15,R_5wMIV0tAllOqimQ,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,,Type 2 Diabetes/Prediabetes,,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation",,2,,5,,1,3,,4,,,,,"it is always time consuming, or not enough protein","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,Patient Portal Links,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles",,"materials developed internally, ADCES, ADA",
2026-02-06 10:07:29,2026-02-06 10:19:30,IP Address,*******,100,721,True,2026-02-06 10:19:31,R_51Z0W6E2G3oYEO2,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,Other (Please Specify),"Infant and preterm nutrition for home, growth goals, diet while breast feeding","Affordability of healthy foods,Personal taste preferences,Limited access to fresh produce (i.e., food insecurity)",,,,2,,3,,,,1,,,,"Too expensive, child acceptance ","Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,"One-Pager/Brief,Interactive Webpage",,Printed Handouts,,"Protein Quality and Amino Acid Profiles,Behavior-Change Strategies",,"Academy of nutrition and dietetics nutrition care manual ",
2026-02-06 10:27:39,2026-02-06 10:33:50,IP Address,*******,100,371,True,2026-02-06 10:33:51,R_1hhJwumlPRm0hQd,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention,Other (Please Specify)",High calorie/high protein for Protein Calorie Malnutrition,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,6,,2,,1,5,,3,4,,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Interactive Webpage,Other (Please Specify)",written info,Other (Please Specify),"Printed, email and patient portal links","Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,Roseville Kaiser Clinical RD website,
2026-02-06 10:31:20,2026-02-06 10:39:33,IP Address,*******,100,493,True,2026-02-06 10:39:34,R_7lRLNLVGelDlrcT,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Type 2 Diabetes/Prediabetes,Weight Management,Digestive Health,General Wellness/Prevention",,"Affordability of healthy foods,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,,,1,,,,,3,2,,,,"Unfamiliarity with preparation of foods, what they are able to afford","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,Other (Please Specify),An APP for their phones.,QR Code,,"Protein Quality and Amino Acid Profiles,Sustainability Implications of Plant-Forward Eating",,myplate.gov,"follow up contact, 2-4 weeks after discharge to talk about nutrition."
2026-02-06 10:56:22,2026-02-06 10:59:30,IP Address,*******,100,188,True,2026-02-06 10:59:30,R_7EE8TIdP8H3qcwe,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,1,2,4,,7,,6,5,3,,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,"Video,One-Pager/Brief",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"nutrition care manual, department handouts",
2026-02-06 10:55:36,2026-02-06 11:01:18,IP Address,*******,100,342,True,2026-02-06 11:01:19,R_6EH9Ytk2tYx2tBP,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,No,,,"Personal taste preferences,Familial and/or household pushback",,,,,,,,,,,,,,"Some dishes not familiar. More difficult to prepare ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Interactive Webpage,,Patient Portal Links,,"Nutritional Efficacy for Specific Medical Conditions,Review of Clinical Research and Dietary Guidelines",,Academy of nutrition and dietitics,
2026-02-06 12:00:43,2026-02-06 12:04:05,IP Address,*******,100,201,True,2026-02-06 12:04:05,R_33pQLafEiLHizTq,*******,*******,*******,*******,*******,*******,anonymous,EN,Nurse,,Yes,"Weight Management,General Wellness/Prevention",,"Affordability of healthy foods,Limited access to fresh produce (i.e., food insecurity)",,,,,,,,,,,,,,"It is not filling or satisfying. ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,"One-Pager/Brief,Interactive Webpage",,Printed Handouts,,"Protein Quality and Amino Acid Profiles,Behavior-Change Strategies",,I do not have materials on nutrition that I specifically give to patients,grocery store coupons made available to patients
2026-02-06 12:49:58,2026-02-06 12:54:15,IP Address,*******,100,256,True,2026-02-06 12:54:15,R_105DcgeryzfHG3u,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,General Wellness/Prevention",,"Affordability of healthy foods,Personal taste preferences",,,,2,,1,,,,,,,,"They think of it as eating ""rabbit food"" or salads all the time.","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,"Video,Interactive Webpage",,Electronic Health Record,,"Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,Nutrition Care Manual,It actually didn't go well when we tried it in the hospital
2026-02-06 13:03:43,2026-02-06 13:09:17,IP Address,*******,100,333,True,2026-02-06 13:09:17,R_1dmAA4vevhb3C3t,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,2,,3,7,1,,5,6,4,,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies",,,
2026-02-06 14:01:12,2026-02-06 14:03:54,IP Address,*******,100,161,True,2026-02-06 14:03:54,R_7nda8wjVuRguRJG,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Oncology,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Personal taste preferences,Time needed for meal preparation",,3,5,2,,1,,,4,,,,,"dislike of beans , not enough protein, tastes bad","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,"Video,Interactive Webpage,Other (Please Specify)","something in person, or social media related ",Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"NCM and materials self developed ","make it taste good and affordable, get family involved (create a community) "
2026-02-06 14:52:43,2026-02-06 14:57:37,IP Address,*******,100,293,True,2026-02-06 14:57:37,R_6WxsGJmJ67iKTNS,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,No,Other (Please Specify),Menu planning for therapeutic diets in food service,"Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation",,,,1,2,3,,4,5,,,,,Not familiar with options and recipes/ time for preparing meals,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,"One-Pager/Brief,Interactive Webpage",,Printed Handouts,,Review of Clinical Research and Dietary Guidelines,,,
2026-02-06 16:08:06,2026-02-06 16:21:08,IP Address,*******,100,782,True,2026-02-06 16:21:09,R_5GDLapO8jpWcHMo,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease",,"Concerns about protein adequacy,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,,,,1,2,,4,3,5,6,,,protein intake,"Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,One-Pager/Brief,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,Academy of Nutrition and Dietetics,
2026-02-06 17:01:16,2026-02-06 17:09:00,IP Address,*******,100,464,True,2026-02-06 17:09:01,R_10AR2DQjbRpAjNa,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Rheumatology,Respiratory Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Other (Please Specify)",Lack of information and education that plant for eating does not have to mean going vegetarian or vegan.,2,,5,,3,,6,4,,,1,"As mentioned previously, not understanding that plant forward does not mean one has to become vegetarian or vegan.","Lack of understanding that a healthful plant forward diet can still include processed foods, for example, frozen or no added salt, canned vegetables or frozen fruit","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,One-Pager/Brief,,Printed Handouts,,"Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,Largely my own institution provided materials..,
2026-02-07 11:16:36,2026-02-07 11:23:09,IP Address,*******,100,392,True,2026-02-07 11:23:10,R_3c5Sv4Iyj6UjEKs,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health,General Wellness/Prevention,Other (Please Specify)","wound healing, malnutrition","Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,4,6,2,,1,,8,3,5,7,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,One-Pager/Brief,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies",,materials developed within my own institution,
2026-02-07 14:33:40,2026-02-07 14:45:31,IP Address,*******,100,711,True,2026-02-07 14:45:32,R_5BYjL24T9RfPKb7,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology",,"Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,,,4,2,1,5,,3,6,,,,"Not enough protein, food cannot taste good without meat protein. ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,Interactive Webpage,Other (Please Specify)","cooking demo with taste tests and/or a support group. ",Email,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"materials within my own institution. ","Offering fast delicious recipes for the whole family so the pt doesn't have to cook for him/herself and the family. "
2026-02-07 15:49:25,2026-02-07 15:53:32,IP Address,*******,100,246,True,2026-02-07 15:53:33,R_7FKAswG8mc68ngh,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,Oncology,,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences",,1,,3,,2,,,,,,,,"They think it means becoming vegetarian or vegan ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Interactive Webpage",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles",,"AND NCM and ONDPG toolkit ","Not sure what this means "
2026-02-07 19:27:30,2026-02-07 19:35:24,IP Address,*******,100,473,True,2026-02-07 19:35:24,R_1FFricmoXoEWAeJ,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Limited access to fresh produce (i.e., food insecurity),Digestive side effects,Other (Please Specify)",Lack of ability,3,4,8,,1,,5,,6,7,2,weakness/fatigue,"They don't eat ""that stuff"", Can't digest it or say they were told by MD they can't have it, or they need to consume too much volume wise (with early satiety)","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"One-Pager/Brief,Interactive Webpage",,QR Code,,"Nutritional Efficacy for Specific Medical Conditions,Review of Clinical Research and Dietary Guidelines",,Nutrition care manual,hmm
2026-02-08 09:18:58,2026-02-08 09:23:02,IP Address,*******,100,243,True,2026-02-08 09:23:02,R_1XLi4nPOn3jfclP,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,1,,3,8,4,2,9,5,6,7,,,significant lifestyle changes,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,Academy of Nutrition and Dietetics,"Encouragement to other members of their household. "
2026-02-08 17:43:08,2026-02-08 18:00:10,IP Address,*******,100,1021,True,2026-02-08 18:00:10,R_6DbxmtX2ox3wgpM,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"General Wellness/Prevention,Other (Please Specify)","pain management, sports medicine","Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,,,,,,,,,,,,,that they won't get enough protein,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Interactive Webpage,,Electronic Health Record,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"ACLM, Oldways, AICR, Full Plate Living",N/a
2026-02-08 18:00:23,2026-02-08 18:08:08,IP Address,*******,100,465,True,2026-02-08 18:08:09,R_6fXSJfi2F3Cv7xL,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09 07:19:41,2026-02-09 07:29:42,IP Address,*******,100,601,True,2026-02-09 07:29:43,R_6iRLSk4cH9mGm2d,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences",,3,,2,,1,,,,,,,,"They cannot get enough protein; they grew up eating ""meat and potato"" style meals and this is what they continue to enjoy and eat; family (usually husbands) want animal meats at all meals; cannot get full without large amount of meat","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,NCM,"Follow up with outpatient RDs, give ways for them to contact someone for when they have questions or need advice."
